# out of simlation
9.999999999999999547e-08 5.000000000000000152e-14 2.132864321608040333e+09
9.999999999999999547e-08 5.959595959595959471e-14 1.870552763819095612e+09
9.999999999999999547e-08 6.919191919191920052e-14 1.675588309440177441e+09
9.999999999999999547e-08 7.878787878787879371e-14 1.544812692223659992e+09
9.999999999999999547e-08 8.838383838383838691e-14 1.436027965916539192e+09
9.999999999999999547e-08 9.797979797979798010e-14 1.505626796188299656e+09
9.999999999999999547e-08 1.075757575757575859e-13 1.511475437387607098e+09
9.999999999999999547e-08 1.171717171717171791e-13 1.469072788692627192e+09
9.999999999999999547e-08 1.267676767676767849e-13 1.414154047831129074e+09
9.999999999999999547e-08 1.363636363636363655e-13 1.357802389875800610e+09
9.999999999999999547e-08 1.459595959595959461e-13 1.314697904236903667e+09
9.999999999999999547e-08 1.555555555555555771e-13 1.275044116905598164e+09
9.999999999999999547e-08 1.651515151515151577e-13 1.233898926068469524e+09
9.999999999999999547e-08 1.747474747474747382e-13 1.201702156266281128e+09
9.999999999999999547e-08 1.843434343434343693e-13 1.170499655467975378e+09
9.999999999999999547e-08 1.939393939393939499e-13 1.140613098939513683e+09
9.999999999999999547e-08 2.035353535353535304e-13 1.112247189122871876e+09
9.999999999999999547e-08 2.131313131313131615e-13 1.085928303725987911e+09
9.999999999999999547e-08 2.227272727272727421e-13 1.063674223962622643e+09
9.999999999999999547e-08 2.323232323232323226e-13 1.041098468933295369e+09
9.999999999999999547e-08 2.419191919191919032e-13 1.020306549469756842e+09
9.999999999999999547e-08 2.515151515151515343e-13 1.000567385422093868e+09
9.999999999999999547e-08 2.611111111111111148e-13 9.818809767903062105e+08
9.999999999999999547e-08 2.707070707070706954e-13 9.642765667803903818e+08
9.999999999999999547e-08 2.803030303030303265e-13 9.473739937143914700e+08
9.999999999999999547e-08 2.898989898989899070e-13 9.318750945362262726e+08
9.999999999999999547e-08 2.994949494949494876e-13 9.165808978000370264e+08
9.999999999999999547e-08 3.090909090909090682e-13 9.020470244197576046e+08
9.999999999999999547e-08 3.186868686868686992e-13 8.886828792793397903e+08
9.999999999999999547e-08 3.282828282828282798e-13 8.756696526108803749e+08
9.999999999999999547e-08 3.378787878787878604e-13 8.631389388413640261e+08
9.999999999999999547e-08 3.474747474747474914e-13 8.508567923228180408e+08
9.999999999999999547e-08 3.570707070707070720e-13 8.392179963361959457e+08
9.999999999999999547e-08 3.666666666666666526e-13 8.283102804994872808e+08
9.999999999999999547e-08 3.762626262626262836e-13 8.175634022957596779e+08
9.999999999999999547e-08 3.858585858585858642e-13 8.072405505789818764e+08
9.999999999999999547e-08 3.954545454545454448e-13 7.971077797011814117e+08
9.999999999999999547e-08 4.050505050505050758e-13 7.875744945463100672e+08
9.999999999999999547e-08 4.146464646464646564e-13 7.788453975563434362e+08
9.999999999999999547e-08 4.242424242424242370e-13 7.701163005663769245e+08
9.999999999999999547e-08 4.338383838383838175e-13 7.613872035764104128e+08
9.999999999999999547e-08 4.434343434343434486e-13 7.526581065864437819e+08
9.999999999999999547e-08 4.530303030303030291e-13 7.446454681433924437e+08
9.999999999999999547e-08 4.626262626262626602e-13 7.367059377153325081e+08
9.999999999999999547e-08 4.722222222222222408e-13 7.293805146131997108e+08
9.999999999999999547e-08 4.818181818181818213e-13 7.221574427320549488e+08
9.999999999999999547e-08 4.914141414141414019e-13 7.149197492479116917e+08
9.999999999999999547e-08 5.010101010101010835e-13 7.083400278986908197e+08
9.999999999999999547e-08 5.106060606060606640e-13 7.010877128115494251e+08
9.999999999999999547e-08 5.202020202020202446e-13 6.945518562713230848e+08
9.999999999999999547e-08 5.297979797979798252e-13 6.887324582780120373e+08
9.999999999999999547e-08 5.393939393939394057e-13 6.821527369287911654e+08
9.999999999999999547e-08 5.489898989898989863e-13 6.763333389354801178e+08
9.999999999999999547e-08 5.585858585858585669e-13 6.705139409421690702e+08
9.999999999999999547e-08 5.681818181818181474e-13 6.646945429488580227e+08
9.999999999999999547e-08 5.777777777777778290e-13 6.588751449555469751e+08
9.999999999999999547e-08 5.873737373737374096e-13 6.538160703181458712e+08
9.999999999999999547e-08 5.969696969696969901e-13 6.480112939278331995e+08
9.999999999999999547e-08 6.065656565656565707e-13 6.435370834103628397e+08
9.999999999999999547e-08 6.161616161616161513e-13 6.377469286230483055e+08
9.999999999999999547e-08 6.257575757575757318e-13 6.334481773415572643e+08
9.999999999999999547e-08 6.353535353535354134e-13 6.281697786591820717e+08
9.999999999999999547e-08 6.449494949494949939e-13 6.239587569956806898e+08
9.999999999999999547e-08 6.545454545454545745e-13 6.188996823582797050e+08
9.999999999999999547e-08 6.641414141414141551e-13 6.144400934438076019e+08
9.999999999999999547e-08 6.737373737373737357e-13 6.101705853683130741e+08
9.999999999999999547e-08 6.833333333333333162e-13 6.057109964538410902e+08
9.999999999999999547e-08 6.929292929292928968e-13 6.014414883783465624e+08
9.999999999999999547e-08 7.025252525252525783e-13 5.970111426698709726e+08
9.999999999999999547e-08 7.121212121212121589e-13 5.932533906993159056e+08
9.999999999999999547e-08 7.217171717171717395e-13 5.890423690358145237e+08
9.999999999999999547e-08 7.313131313131313200e-13 5.853431034772524834e+08
9.999999999999999547e-08 7.409090909090909006e-13 5.816145947126938105e+08
9.999999999999999547e-08 7.505050505050504812e-13 5.774035730491924286e+08
9.999999999999999547e-08 7.601010101010101627e-13 5.737335506966269016e+08
9.999999999999999547e-08 7.696969696969697433e-13 5.707946084939748049e+08
9.999999999999999547e-08 7.792929292929293239e-13 5.670660997294162512e+08
9.999999999999999547e-08 7.888888888888889044e-13 5.636154014218248129e+08
9.999999999999999547e-08 7.984848484848484850e-13 5.599453790692592859e+08
9.999999999999999547e-08 8.080808080808080656e-13 5.562753567166937590e+08
9.999999999999999547e-08 8.176767676767676461e-13 5.533364145140417814e+08
9.999999999999999547e-08 8.272727272727273277e-13 5.504267155173861980e+08
9.999999999999999547e-08 8.368686868686869083e-13 5.466982067528275251e+08
9.999999999999999547e-08 8.464646464646464888e-13 5.437885077561720610e+08
9.999999999999999547e-08 8.560606060606060694e-13 5.403378094485807419e+08
9.999999999999999547e-08 8.656565656565656500e-13 5.374281104519251585e+08
9.999999999999999547e-08 8.752525252525252305e-13 5.345184114552696943e+08
9.999999999999999547e-08 8.848484848484849121e-13 5.316087124586141109e+08
9.999999999999999547e-08 8.944444444444444926e-13 5.286990134619585276e+08
9.999999999999999547e-08 9.040404040404040732e-13 5.257893144653030634e+08
9.999999999999999547e-08 9.136363636363636538e-13 5.228796154686474800e+08
9.999999999999999547e-08 9.232323232323233353e-13 5.205109157829279900e+08
9.999999999999999547e-08 9.328282828282828149e-13 5.176012167862724662e+08
9.999999999999999547e-08 9.424242424242424965e-13 5.146915177896169424e+08
9.999999999999999547e-08 9.520202020202021780e-13 5.126006285608644485e+08
9.999999999999999547e-08 9.616161616161616576e-13 5.096909295642089844e+08
9.999999999999999547e-08 9.712121212121213392e-13 5.076000403354565501e+08
9.999999999999999547e-08 9.808080808080808187e-13 5.046610981328044534e+08
9.999999999999999547e-08 9.904040404040405003e-13 5.025994521100485325e+08
9.999999999999999547e-08 9.999999999999999799e-13 4.996897531133930087e+08

1.393939393939393812e-07 5.000000000000000152e-14 1.675588309440177441e+09
1.393939393939393812e-07 5.959595959595959471e-14 1.487174333204483509e+09
1.393939393939393812e-07 6.919191919191920052e-14 1.481647367271138191e+09
1.393939393939393812e-07 7.878787878787879371e-14 1.509077494495890856e+09
1.393939393939393812e-07 8.838383838383838691e-14 1.431085864103124380e+09
