# out of simlation
9.999999999999999547e-08 5.000000000000000152e-14 1.830486031835938165e+00
9.999999999999999547e-08 5.959595959595959471e-14 1.528147487889570444e+00
9.999999999999999547e-08 6.919191919191920052e-14 1.290838219680239707e+00
9.999999999999999547e-08 7.878787878787879371e-14 1.137773525257223417e+00
9.999999999999999547e-08 8.838383838383838691e-14 1.003511825413180292e+00
9.999999999999999547e-08 9.797979797979798010e-14 9.134973840556878111e-01
9.999999999999999547e-08 1.075757575757575859e-13 8.308755866873255291e-01
9.999999999999999547e-08 1.171717171717171791e-13 7.738897999813537654e-01
9.999999999999999547e-08 1.267676767676767849e-13 7.132952563801161494e-01
9.999999999999999547e-08 1.363636363636363655e-13 6.573735216994968100e-01
9.999999999999999547e-08 1.459595959595959461e-13 6.191232314600531028e-01
9.999999999999999547e-08 1.555555555555555771e-13 5.814322957285887883e-01
9.999999999999999547e-08 1.651515151515151577e-13 5.437860147229112151e-01
9.999999999999999547e-08 1.747474747474747382e-13 5.169750758341081776e-01
9.999999999999999547e-08 1.843434343434343693e-13 4.901862148404902975e-01
9.999999999999999547e-08 1.939393939393939499e-13 4.656743649748292802e-01
9.999999999999999547e-08 2.035353535353535304e-13 4.428304690362385165e-01
9.999999999999999547e-08 2.131313131313131615e-13 4.217355771782291263e-01
9.999999999999999547e-08 2.227272727272727421e-13 4.050987990115573756e-01
9.999999999999999547e-08 2.323232323232323226e-13 3.881352822384593892e-01
9.999999999999999547e-08 2.419191919191919032e-13 3.728245536032218088e-01
9.999999999999999547e-08 2.515151515151515343e-13 3.585824185114226403e-01
9.999999999999999547e-08 2.611111111111111148e-13 3.453637643285522585e-01
9.999999999999999547e-08 2.707070707070706954e-13 3.331350965579792933e-01
9.999999999999999547e-08 2.803030303030303265e-13 3.216204123058610254e-01
9.999999999999999547e-08 2.898989898989899070e-13 3.111835731095281554e-01
9.999999999999999547e-08 2.994949494949494876e-13 3.011302541357153695e-01
9.999999999999999547e-08 3.090909090909090682e-13 2.917205225834443305e-01
9.999999999999999547e-08 3.186868686868686992e-13 2.831172053261408195e-01
9.999999999999999547e-08 3.282828282828282798e-13 2.748928235358327754e-01
9.999999999999999547e-08 3.378787878787878604e-13 2.671074652670530902e-01
9.999999999999999547e-08 3.474747474747474914e-13 2.596663036180142381e-01
9.999999999999999547e-08 3.570707070707070720e-13 2.526712344632613405e-01
