# out of simlation
9.999999999999999547e-08 5.000000000000000152e-14 3.951456332227910025e+04
9.999999999999999547e-08 5.959595959595959471e-14 3.380211462964024395e+04
9.999999999999999547e-08 6.919191919191920052e-14 2.891548981868996998e+04
9.999999999999999547e-08 7.878787878787879371e-14 2.551995475931771944e+04
9.999999999999999547e-08 8.838383838383838691e-14 2.252315610080603801e+04
9.999999999999999547e-08 9.797979797979798010e-14 2.050884754814134430e+04
9.999999999999999547e-08 1.075757575757575859e-13 1.867468421700677209e+04
9.999999999999999547e-08 1.171717171717171791e-13 1.700455521873180624e+04
9.999999999999999547e-08 1.267676767676767849e-13 1.597496627831111255e+04
9.999999999999999547e-08 1.363636363636363655e-13 1.454628057108106623e+04
9.999999999999999547e-08 1.459595959595959461e-13 1.366553482927280493e+04
9.999999999999999547e-08 1.555555555555555771e-13 1.283811633204245845e+04
9.999999999999999547e-08 1.651515151515151577e-13 1.206079623038258069e+04
9.999999999999999547e-08 1.747474747474747382e-13 1.133054117509063690e+04
9.999999999999999547e-08 1.843434343434343693e-13 1.098216564725856188e+04
9.999999999999999547e-08 1.939393939393939499e-13 1.031721933452994563e+04
9.999999999999999547e-08 2.035353535353535304e-13 1.000000000000000000e+04
9.999999999999999547e-08 2.131313131313131615e-13 1.000000000000000000e+04
9.999999999999999547e-08 2.227272727272727421e-13 1.000000000000000000e+04
9.999999999999999547e-08 2.323232323232323226e-13 1.000000000000000000e+04
9.999999999999999547e-08 2.419191919191919032e-13 1.000000000000000000e+04
9.999999999999999547e-08 2.515151515151515343e-13 1.000000000000000000e+04
9.999999999999999547e-08 2.611111111111111148e-13 1.000000000000000000e+04
9.999999999999999547e-08 2.707070707070706954e-13 1.000000000000000000e+04
9.999999999999999547e-08 2.803030303030303265e-13 1.000000000000000000e+04
9.999999999999999547e-08 2.898989898989899070e-13 1.000000000000000000e+04
9.999999999999999547e-08 2.994949494949494876e-13 1.000000000000000000e+04
9.999999999999999547e-08 3.090909090909090682e-13 1.000000000000000000e+04
9.999999999999999547e-08 3.186868686868686992e-13 1.000000000000000000e+04
9.999999999999999547e-08 3.282828282828282798e-13 1.000000000000000000e+04
9.999999999999999547e-08 3.378787878787878604e-13 1.000000000000000000e+04
9.999999999999999547e-08 3.474747474747474914e-13 1.000000000000000000e+04
9.999999999999999547e-08 3.570707070707070720e-13 1.000000000000000000e+04
9.999999999999999547e-08 3.666666666666666526e-13 1.000000000000000000e+04
9.999999999999999547e-08 3.762626262626262836e-13 1.000000000000000000e+04
9.999999999999999547e-08 3.858585858585858642e-13 1.000000000000000000e+04
9.999999999999999547e-08 3.954545454545454448e-13 1.000000000000000000e+04
9.999999999999999547e-08 4.050505050505050758e-13 1.000000000000000000e+04
