# out of simlation
9.999999999999999547e-08 5.000000000000000152e-14 7.740990198757367935e+00
9.999999999999999547e-08 5.959595959595959471e-14 6.269546127692906090e+00
9.999999999999999547e-08 6.919191919191920052e-14 5.157300534058751218e+00
9.999999999999999547e-08 7.878787878787879371e-14 4.481715012339137161e+00
9.999999999999999547e-08 8.838383838383838691e-14 3.917875009801391695e+00
9.999999999999999547e-08 9.797979797979798010e-14 3.547976380477992908e+00
9.999999999999999547e-08 1.075757575757575859e-13 3.210302775570777811e+00
9.999999999999999547e-08 1.171717171717171791e-13 2.981755017431893418e+00
9.999999999999999547e-08 1.267676767676767849e-13 2.738201539920942729e+00
9.999999999999999547e-08 1.363636363636363655e-13 2.516736539034670983e+00
9.999999999999999547e-08 1.459595959595959461e-13 2.366422455890491605e+00
9.999999999999999547e-08 1.555555555555555771e-13 2.218421234168518108e+00
9.999999999999999547e-08 1.651515151515151577e-13 2.071565923454719016e+00
9.999999999999999547e-08 1.747474747474747382e-13 1.967413272085795972e+00
9.999999999999999547e-08 1.843434343434343693e-13 1.863539220910132688e+00
9.999999999999999547e-08 1.939393939393939499e-13 1.768839876995451865e+00
9.999999999999999547e-08 2.035353535353535304e-13 1.680795887754993778e+00
9.999999999999999547e-08 2.131313131313131615e-13 1.599629228760198751e+00
9.999999999999999547e-08 2.227272727272727421e-13 1.535733639392423688e+00
9.999999999999999547e-08 2.323232323232323226e-13 1.470692247149737675e+00
9.999999999999999547e-08 2.419191919191919032e-13 1.412059376900476115e+00
9.999999999999999547e-08 2.515151515151515343e-13 1.357589045600390065e+00
9.999999999999999547e-08 2.611111111111111148e-13 1.307089584301065477e+00
9.999999999999999547e-08 2.707070707070706954e-13 1.260416135710098917e+00
9.999999999999999547e-08 2.803030303030303265e-13 1.216510769280036985e+00
9.999999999999999547e-08 2.898989898989899070e-13 1.176735060382548381e+00
9.999999999999999547e-08 2.994949494949494876e-13 1.138460227309011863e+00
9.999999999999999547e-08 3.090909090909090682e-13 1.102657702149360652e+00
9.999999999999999547e-08 3.186868686868686992e-13 1.069932651734770479e+00
9.999999999999999547e-08 3.282828282828282798e-13 1.038670394665555330e+00
9.999999999999999547e-08 3.378787878787878604e-13 1.009093248274715249e+00
9.999999999999999547e-08 3.474747474747474914e-13 9.808422515604978686e-01
9.999999999999999547e-08 3.570707070707070720e-13 9.542928142139525116e-01
9.999999999999999547e-08 3.666666666666666526e-13 9.294824957157007406e-01
9.999999999999999547e-08 3.762626262626262836e-13 9.056393539486142785e-01
9.999999999999999547e-08 3.858585858585858642e-13 8.830148373183176469e-01
9.999999999999999547e-08 3.954545454545454448e-13 8.612656282938037089e-01
9.999999999999999547e-08 4.050505050505050758e-13 8.408492800063063211e-01
9.999999999999999547e-08 4.146464646464646564e-13 8.218414335602700627e-01
9.999999999999999547e-08 4.242424242424242370e-13 8.033322164544635102e-01
9.999999999999999547e-08 4.338383838383838175e-13 7.854720554799187182e-01
9.999999999999999547e-08 4.434343434343434486e-13 7.681368018080094728e-01
9.999999999999999547e-08 4.530303030303030291e-13 7.519028761051755883e-01
9.999999999999999547e-08 4.626262626262626602e-13 7.361772111144482267e-01
9.999999999999999547e-08 4.722222222222222408e-13 7.214295088852582527e-01
