# out of simlation
9.999999999999999547e-08 5.000000000000000152e-14 7.057089150374412645e-01
9.999999999999999547e-08 5.959595959595959471e-14 5.940475591287062151e-01
9.999999999999999547e-08 6.919191919191920052e-14 5.053434851486355850e-01
9.999999999999999547e-08 7.878787878787879371e-14 4.471182390108480176e-01
9.999999999999999547e-08 8.838383838383838691e-14 3.953102609971040349e-01
9.999999999999999547e-08 9.797979797979798010e-14 3.603588555118811820e-01
9.999999999999999547e-08 1.075757575757575859e-13 3.282268348651189438e-01
9.999999999999999547e-08 1.171717171717171791e-13 3.059476143361467559e-01
9.999999999999999547e-08 1.267676767676767849e-13 2.822715940792225875e-01
9.999999999999999547e-08 1.363636363636363655e-13 2.603313293908357529e-01
9.999999999999999547e-08 1.459595959595959461e-13 2.452920946983518924e-01
9.999999999999999547e-08 1.555555555555555771e-13 2.304695851863596545e-01
9.999999999999999547e-08 1.651515151515151577e-13 2.156377565026726673e-01
9.999999999999999547e-08 1.747474747474747382e-13 2.050627149171876384e-01
9.999999999999999547e-08 1.843434343434343693e-13 1.944909987969344056e-01
9.999999999999999547e-08 1.939393939393939499e-13 1.848081959146967712e-01
9.999999999999999547e-08 2.035353535353535304e-13 1.757783473418332854e-01
9.999999999999999547e-08 2.131313131313131615e-13 1.674360212242259893e-01
9.999999999999999547e-08 2.227272727272727421e-13 1.608534210755306337e-01
9.999999999999999547e-08 2.323232323232323226e-13 1.541384676544141352e-01
9.999999999999999547e-08 2.419191919191919032e-13 1.480757499383973108e-01
9.999999999999999547e-08 2.515151515151515343e-13 1.424341855344421204e-01
9.999999999999999547e-08 2.611111111111111148e-13 1.371964431851883104e-01
9.999999999999999547e-08 2.707070707070706954e-13 1.323497278702098767e-01
9.999999999999999547e-08 2.803030303030303265e-13 1.277847748542778328e-01
9.999999999999999547e-08 2.898989898989899070e-13 1.236465669410997670e-01
9.999999999999999547e-08 2.994949494949494876e-13 1.196593116553840014e-01
9.999999999999999547e-08 3.090909090909090682e-13 1.159266840929453757e-01
9.999999999999999547e-08 3.186868686868686992e-13 1.125136817692552610e-01
9.999999999999999547e-08 3.282828282828282798e-13 1.092503979046854784e-01
9.999999999999999547e-08 3.378787878787878604e-13 1.061608469830488122e-01
9.999999999999999547e-08 3.474747474747474914e-13 1.032073607394622533e-01
9.999999999999999547e-08 3.570707070707070720e-13 1.004307082294099290e-01
9.999999999999999547e-08 3.666666666666666526e-13 9.783533091333057596e-02
9.999999999999999547e-08 3.762626262626262836e-13 9.533937247765222889e-02
9.999999999999999547e-08 3.858585858585858642e-13 9.297005146221341831e-02
9.999999999999999547e-08 3.954545454545454448e-13 9.069113787964051820e-02
9.999999999999999547e-08 4.050505050505050758e-13 8.855159524153285999e-02
9.999999999999999547e-08 4.146464646464646564e-13 8.655994952381063090e-02
9.999999999999999547e-08 4.242424242424242370e-13 8.461934210671948065e-02
9.999999999999999547e-08 4.338383838383838175e-13 8.274560478545484044e-02
9.999999999999999547e-08 4.434343434343434486e-13 8.092594383843421113e-02
9.999999999999999547e-08 4.530303030303030291e-13 7.922226041908785044e-02
9.999999999999999547e-08 4.626262626262626602e-13 7.757122730642522501e-02
9.999999999999999547e-08 4.722222222222222408e-13 7.602312069705081943e-02
9.999999999999999547e-08 4.818181818181818213e-13 7.452295486136799318e-02
9.999999999999999547e-08 4.914141414141414019e-13 7.306482619063484063e-02
9.999999999999999547e-08 5.010101010101010835e-13 7.169018407554550443e-02
9.999999999999999547e-08 5.106060606060606640e-13 7.031350054481762257e-02
9.999999999999999547e-08 5.202020202020202446e-13 6.902156753450962301e-02
9.999999999999999547e-08 5.297979797979798252e-13 6.780850490170252376e-02
9.999999999999999547e-08 5.393939393939394057e-13 6.658634441279424887e-02
9.999999999999999547e-08 5.489898989898989863e-13 6.543888595076099990e-02
9.999999999999999547e-08 5.585858585858585669e-13 6.432131843670395310e-02
9.999999999999999547e-08 5.681818181818181474e-13 6.323470964713308329e-02
9.999999999999999547e-08 5.777777777777778290e-13 6.217484672363001591e-02
9.999999999999999547e-08 5.873737373737374096e-13 6.118255410870836186e-02
